"district","city","province","postal_code"
"TAPAK TUAN","ACEH SELATAN","ACEH","23712"
"TAPAK TUAN","ACEH SELATAN","ACEH","23715"
"TAPAK TUAN","ACEH SELATAN","ACEH","23718"
"BANDA SAKTI","LHOKSEUMAWE","ACEH","24314"
"KEBAYAKAN","ACEH TENGAH","ACEH","24517"
"LANGSA BARAT","LANGSA","ACEH","24413"
"LUT TAWAR","ACEH TENGAH","ACEH","24516"
"KUTA RAJA","BANDA ACEH","ACEH","23242"
"KUTA ALAM","BANDA ACEH","ACEH","23123"
"BAITURRAHMAN","BANDA ACEH","ACEH","23243"
"TAPAK TUAN","ACEH SELATAN","ACEH","23713"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23612"
"KOTA SIGLI","PIDIE","ACEH","24113"
"KOTA SIGLI","PIDIE","ACEH","24116"
"LANGSA BARAT","LANGSA","ACEH","24414"
"LANGSA KOTA","LANGSA","ACEH","24414"
"SUKAKARYA","SABANG","ACEH","23516"
"SUKAJAYA","SABANG","ACEH","23529"
"PULAU BANYAK","ACEH SINGKIL","ACEH","24791"
"JAYA BARU","BANDA ACEH","ACEH","23234"
"TENGGULUN","ACEH TAMIANG","ACEH","24477"
"SYIAH KUALA","BANDA ACEH","ACEH","23112"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23616"
"BANDA SAKTI","LHOKSEUMAWE","ACEH","24313"
"LANGSA BARAT","LANGSA","ACEH","24451"
"LUENG BATA","BANDA ACEH","ACEH","23249"
"LUT TAWAR","ACEH TENGAH","ACEH","24514"
"LUT TAWAR","ACEH TENGAH","ACEH","24511"
"KOTA JANTHO","ACEH BESAR","ACEH","23913"
"PADANG TIJI","PIDIE","ACEH","24167"
"BANDA SAKTI","LHOKSEUMAWE","ACEH","24311"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23615"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23613"
"PULAU-PULAU BATU TIMUR","NIAS SELATAN","SUMATERA UTARA","22881"
"PANYABUNGAN KOTA","MANDAILING NATAL","SUMATERA UTARA","22912"
"SIEMPAT NEMPU","DAIRI","SUMATERA UTARA","22261"
"AEK NATAS","LABUHAN BATU UTARA","SUMATERA UTARA","21455"
"ADIAN KOTING","TAPANULI UTARA","SUMATERA UTARA","22461"
